omega,Re_I,Im_I,Re_FL,Im_FL,Re_FR,Im_FR,Re_G,Im_G
-0.69,0.6177056855670309,-0.17116490942590898,-0.933449144434253,0.16383729929007315,-0.933449144434253,0.16383729929007315,-0.08637395863005379,-0.2502640099812594
-0.68,0.5923388540036457,-0.1586026062573486,-0.9176764116341505,0.1534487815606914,-0.9176764116341505,0.1534487815606914,-0.11364542789445127,-0.24392512272947586
-0.67,0.5681734389274291,-0.14783432205066194,-0.9030473191280003,0.1444156929298054,-0.9030473191280003,0.1444156929298054,-0.1402572360354092,-0.23901415202324425
-0.66,0.5451882701888452,-0.13853350792744512,-0.8895542707918309,0.13646017943817218,-0.8895542707918309,0.13646017943817218,-0.16626832114760778,-0.23529764629880667
-0.65,0.5233083134421233,-0.13041944718173912,-0.8771341883320273,0.12933384164211148,-0.8771341883320273,0.12933384164211148,-0.19180596076840564,-0.2325910148760643
-0.64,0.502415235098068,-0.12327544598323532,-0.865675849155438,0.12284443666514536,-0.865675849155438,0.12284443666514536,-0.2170402411653936,-0.230801922778404
-0.63,0.4823744594899486,-0.11696267152658357,-0.8550490016120333,0.11687591586594176,-0.8550490016120333,0.11687591586594176,-0.2421247308931061,-0.22994844047231172
-0.62,0.4630720969441683,-0.11141592594861573,-0.8451447791688093,0.11138642531600541,-0.8451447791688093,0.11138642531600541,-0.26713160657525686,-0.23013000337927123
-0.61,0.4444458811424368,-0.10661599287639266,-0.8359089028276686,0.10638096559405198,-0.8359089028276686,0.10638096559405198,-0.2920190435674963,-0.2314575504012711
-0.6,0.4264934723967969,-0.10254674461256931,-0.8273521258240428,0.10186928852733426,-0.8273521258240428,0.10186928852733426,-0.31665332513087474,-0.2339762968274308
-0.59,0.40925139112100195,-0.0991561719496725,-0.8195338507203905,0.09782702242890891,-0.8195338507203905,0.09782702242890891,-0.34087716856170897,-0.23762166410321925
-0.58,0.3927537349720829,-0.09634110571727215,-0.8125274660637211,0.09417550487561482,-0.8125274660637211,0.09417550487561482,-0.36458944270100985,-0.24223118527046178
-0.57,0.37699199035522896,-0.09396382544616966,-0.8063828786531934,0.09078623207348006,-0.8063828786531934,0.09078623207348006,-0.3877959598103709,-0.24760456281753976
-0.56,0.36189748597176974,-0.09189138579454066,-0.8011007498381164,0.08750529690185087,-0.8011007498381164,0.08750529690185087,-0.4106082617142575,-0.2535793710898806
-0.55,0.34735565877214103,-0.09003593191906134,-0.7966264711238066,0.08418654594490112,-0.7966264711238066,0.08418654594490112,-0.4331956249693319,-0.26008455017698745
