omega_lin,omega_log,U1.0_lor,U1.0_gau,U1.0_log,U2.0_lor,U2.0_gau,U2.0_log,U2.4_lor,U2.4_gau,U2.4_log,U4.0_lor,U4.0_gau,U4.0_log
-1.99,-0.019218921736949442,0.07987085560540857,0.07584873675511374,3.773707008897684e-7,0.2173944587555073,0.217037090925278,1.5317727751459517e-5,0.37424545970296835,0.3430081039068626,0.0003468800152685741,0.7810881642789406,0.7475857960135622,5.097646912689297e-21
-1.98,-0.018715224164551545,0.08585150958600865,0.07823050029554052,2.860899745830445e-7,0.23504928816367576,0.2262359931862275,1.1966368182456427e-5,0.3718308599475067,0.34798864774263194,0.0002813996934420318,0.7422067449502203,0.7454206773691343,2.8335394202993633e-21
-1.97,-0.018224727709672733,0.08886683879034771,0.08030030866024655,2.1608842370201227e-7,0.255139169388523,0.23539760129542178,9.325325546932825e-6,0.35496654916575443,0.3499750616143253,0.00022750209736550927,0.7136103658135404,0.7429725731094159,1.5689702372594813e-21
-1.96,-0.01774708639188089,0.08782774311632963,0.08202423983446501,1.6261953148709183e-7,0.2688154935838349,0.24316627879022273,7.2513400866931434e-6,0.33859000448594795,0.35172283147423583,0.00018331193345343672,0.7118460779003053,0.7429928598480903,8.654177270331371e-22
-1.95,-0.01728196329834437,0.08506062269959544,0.08362055805187786,1.2194077099401932e-7,0.2703794741920058,0.24899086120914887,5.62815108269659e-6,0.33360940766585145,0.3560899281719011,0.00014722128512735405,0.7384317683928734,0.7464718633665883,4.75512793910174e-22
-1.94,-0.016829030346184524,0.08379511260862023,0.08541822828966378,9.111476629092445e-8,0.26312155914048074,0.2534520227402501,4.36185380137103e-6,0.34442245840494595,0.36450460264680434,0.00011785870438738731,0.7800606100489383,0.7522953198268243,2.6026973565359363e-22
-1.93,-0.016387968051056558,0.08586498247056064,0.08763990521748861,6.78465939814066e-8,0.25553686257486186,0.2579461316147885,3.376956076311536e-6,0.37021186330487904,0.37617621940922646,9.406047734765247e-5,0.8098637019340481,0.7582557559583377,1.4190898489081721e-22
-1.92,-0.015958465301795576,0.09137797922959498,0.09025221137917872,5.035141139043232e-8,0.25498923498099235,0.2638884753722972,2.6130503753897594e-6,0.4036804298039185,0.38849585076411897,7.484419560322556e-5,0.8057479803306876,0.7626423882276026,7.707625258306939e-23
-1.91,-0.015540219140968741,0.09861023943181316,0.0929845778285694,3.7247360198229776e-8,0.2650552890662623,0.2718856701786794,2.0220227286689855e-6,0.42968819271048336,0.39843416755304994,5.938468864947061e-5,0.7749900047270849,0.7652990367272651,4.1701865842616563e-23
-1.9,-0.01513293455117886,0.10408837879849799,0.09550711824031675,2.7469396547598115e-8,0.28480883515955363,0.28136136786341753,1.5657261507709718e-6,0.43363176498362455,0.40419165260943285,4.699230909580631e-5,0.7454630975179334,0.76747167296201,2.2475755918024864e-23
-1.89,-0.014736324246968583,0.10492966044398153,0.09765056924063849,2.020033542875526e-8,0.30782056357991355,0.29086894679191794,1.2140528360734028e-6,0.4169065078049672,0.40619912841631334,3.70935114650452e-5,0.7388831633291069,0.7706438578408009,1.2066929735273838e-23
-1.88,-0.014350108472178477,0.10211881404333206,0.09952030374425379,1.4815966627348012e-8,0.3233920939441596,0.29892576243345137,9.433461568318544e-7,0.39538906761128595,0.406905020974411,2.9213626009611275e-5,0.7608634708774373,0.7752586555968947,6.453609055795223e-24
-1.87,-0.013974014802616033,0.0994584576783005,0.10142535531908434,1.0841602495555417e-8,0.3245176683956954,0.3048876313699973,7.351001349833896e-7,0.383956070114037,0.40944640746751104,2.2961700067468733e-5,0.800317480551185,0.7802663256666327,3.4382041178449865e-24
-1.86,-0.013607777953896382,0.10002202252754272,0.10366812052311913,7.91785699412232e-9,0.31493195810040137,0.30934269752768917,5.749004248487127e-7,0.3898012170074628,0.41592388487784243,1.801725976409023e-5,0.8308679668766578,0.783810174395864,1.8246666617757818e-24
-1.85,-0.013251139594319235,0.1047899175252836,0.10633680561554826,5.773834913569037e-9,0.3050321072292439,0.31377609685332364,4.5156682073961976e-7,0.41347361112145004,0.4262352014841658,1.4118833034254686e-5,0.8282543262155371,0.7845340589931235,9.646239615491942e-25
-1.84,-0.012903848162649995,0.11256658566675905,0.10924336692113806,4.206234820993503e-9,0.3039036156672415,0.3196888144941166,3.5646281547600514e-7,0.4484717375386362,0.43812682798755764,1.1054069690777391e-5,0.7968140642642955,0.7825629079103522,5.079897332765841e-25
-1.83,-0.012565658690676553,0.11986231293318413,0.11205153970926153,3.063144450530144e-9,0.31557457373592873,0.32768964894809954,2.8294274109479237e-7,0.47932108689287933,0.44844937096808674,8.651294364016026e-6,0.7640670417998231,0.779470448042905,2.664857328105838e-25
-1.82,-0.01223633263041658,0.12260240089523215,0.11450829014952754,2.2315384579931177e-9,0.3381952632601667,0.3371099857656845,2.259115061710973e-7,0.48822564215884434,0.45492363500279637,6.772332423232096e-6,0.7530934255742049,0.7772933248764742,1.3925631211336872e-25
-1.81,-0.011915637685853457,0.12026589715195,0.11661862700562485,1.6276811008513498e-9,0.36322230184234205,0.3463871855327116,1.8147591019095616e-7,0.47252729339291066,0.4574248100097392,5.306456428092199e-6,0.7704043356107356,0.7773207011977334,7.248989681675695e-26
-1.8,-0.011603347649082127,0.11666157602367089,0.11864116384553987,1.1897956352071077e-9,0.378030658609022,0.3539987857293184,1.4666998444267914e-7,0.4479870863669504,0.45805220511940564,4.165310331023618e-6,0.8051159519267989,0.779499546172175,3.7589063631868287e-26
-1.79,-0.011299242240749309,0.11594140531338391,0.12090631933228381,8.724928275727042e-10,0.3759517647173269,0.3593868632885394,1.192398115998895e-7,0.43238179270929233,0.4599349892072373,3.278679775188209e-6,0.8317376672241672,0.782794029423867,1.9416311891406544e-26
-1.78,-0.011003106954675525,0.11997194045626175,0.12358432151947767,6.425573147070355e-10,0.36301969437475967,0.3633057478239598,9.747584996500244e-8,0.4352722814807532,0.4654473033425053,2.5909887549505695e-6,0.8286051312698999,0.7861251953382637,9.9906318323794e-27
-1.77,-0.010714732906549338,0.1279993937319274,0.12656708670610411,4.757765004597663e-10,0.3518387161895422,0.36737076113071415,8.008297430988278e-8,0.45814201946779615,0.4748529181760939,2.0584150963467005e-6,0.8020737344843836,0.7891355017092098,5.120824986742475e-27
-1.76,-0.010433916686587073,0.1365270428295728,0.1295483733818208,3.545656780019858e-10,0.35221860149468837,0.3730760657058792,6.608028573963887e-8,0.4944186241085596,0.48616225949129865,1.6465292590997218e-6,0.7785798985752951,0.7922363514340584,2.61461325259596e-27
-1.75,-0.010160460216054091,0.1407054129633249,0.13224530418206085,2.661980798272797e-10,0.3673649164605571,0.3808832541844758,5.47242798178445e-8,0.5276257678499352,0.4962900075424419,1.328372546626059e-6,0.778217947981687,0.7960022233332296,1.3298275206027934e-27
-1.74,-0.009894170607546418,0.13888335872232177,0.13460220326233294,2.0149213233244155e-10,0.39317364743750327,0.38994588912326694,4.545023527709712e-8,0.5380805039087,0.5028463029832889,1.0829017131046139e-6,0.8031884201555294,0.8004786822840565,6.737570123261041e-28
-1.73,-0.009634860028934178,0.13473695929541096,0.1368294442080507,1.5384248332250583e-10,0.41805089725518785,0.39864349636081553,3.782773221716352e-8,0.5217558701952341,0.5055197739172843,8.937370298354906e-7,0.8368197985486432,0.8049877748542072,3.400409316313673e-28
-1.72,-0.00938234557087083,0.13324128661728232,0.1392490262350105,1.185081870751559e-10,0.4284941021109296,0.4055919869103708,3.1527062719447036e-8,0.4951431853991574,0.5062426676728723,7.481600322865912e-7,0.852001875521887,0.808564746074314,1.7095382032017617e-28
-1.71,-0.009136449117774816,0.13698641713076593,0.1420595722124504,9.209227270072275e-11,0.42100570063019493,0.4104956267880206,2.629398871167047e-8,0.47788263814034787,0.5080399633892952,6.36315380169981e-7,0.8367853106846761,0.8106364610452728,8.561422652994759e-29
-1.7,-0.008896997222192532,0.1454539023652735,0.14519311860938686,7.216302061856202e-11,0.40561859082842006,0.41430433935895833,2.1930858552185673e-8,0.4807341923862435,0.5132410082800287,5.505785303107998e-7,0.8087927385415135,0.81138201137279,4.271027634254868e-29
-1.69,-0.008663820982454095,0.1549136293053962,0.14836919658681286,5.697963382541305e-11,0.3964059715716434,0.4185819350496132,1.828253853891837e-8,0.5051234604627618,0.5221128250348678,4.850572796347509e-7,0.794188666753657,0.8115133108671329,2.1224523470381615e-29
-1.68,-0.00843675592353551,0.15988389921761834,0.15130609995192346,4.529442703944236e-11,0.4020425833141386,0.42449581716262863,1.5225968471905596e-8,0.5430892180614243,0.5327262539530905,4.352007373527948e-7,0.8048910295885908,0.8117012335196492,1.0506606019903612e-29
-1.67,-0.008215641881043295,0.1581768117795838,0.1539323035999393,3.621081831220177e-11,0.42290166183440664,0.4320808650593535,1.2662428583609582e-8,0.5759725553576023,0.542130647218649,3.9749399862790896e-7,0.8325099450884043,0.8121352822252562,5.1809057305484425e-30
-1.66,-0.008000322888239653,0.15367256276236246,0.1564405598105567,2.9081811591538217e-11,0.4505774888284296,0.44024958339457865,1.051182295679695e-8,0.5834487499277886,0.5481274714955335,3.692207913355592e-7,0.852825084793208,0.8125429382204149,2.5448810729361138e-30
-1.65,-0.007790647066028553,0.1520081981767232,0.1591449077533554,2.3437713222354275e-11,0.47025666453387177,0.4475318020505912,8.708453935259401e-9,0.5637806408430363,0.5505725472795884,3.482797304729443e-7,0.8465679509324641,0.8125804513879801,1.2452245366788824e-30
-1.64,-0.007586466515825104,0.15618486754407093,0.16224906099656058,1.8934850319932505e-11,0.4711729810222184,0.45304923908494493,7.197892868172301e-9,0.5359636265423607,0.551423947342928,3.3304261818905224e-7,0.821979873718919,0.8122113674115197,6.069403968734615e-31
-1.63,-0.007387637215232636,0.16555721244641974,0.16570127671499132,1.531930315129152e-11,0.45700814283488833,0.45707896367330675,5.934652890025989e-9,0.5203393772429807,0.5535178710632077,3.222455450018811e-7,0.8041615509264336,0.811751100726393,2.9468799141002726e-31
-1.62,-0.007194018916453941,0.17577991420871375,0.16924442070186252,1.2401319346326713e-11,0.4422499307525043,0.46083749040826616,4.880445877884309e-9,0.5270579571287531,0.558832171944532,3.1490544837945547e-7,0.8089723871241344,0.8115849792054978,1.4252684719001843e-31
-1.61,-0.00700547504736498,0.18079846640726283,0.17262040042609142,1.0037292461744379e-11,0.4400343194837674,0.46564052178633814,4.002863521921122e-9,0.555771372697223,0.5673074901799299,3.1025633140283723e-7,0.8319563540860653,0.8118497124795752,6.866708185535771e-32
-1.6,-0.006821872615181297,0.178675169245641,0.17577000604104875,8.117073620493249e-12,0.45501208487675043,0.4720119374867987,3.2743658087798427e-9,0.5950870184273281,0.5769443580875786,3.077005931543555e-7,0.8514079750731302,0.8123625306499295,3.2954749081630584e-32
-1.59,-0.006643082112649186,0.17411338343799704,0.17887403228622328,6.5550278626443735e-12,0.4819498114124194,0.4793464695235469,2.671492492932701e-9,0.6231348106294237,0.5850971382684849,3.067719236276404e-7,0.8478108691580198,0.8128268772578375,1.5754505081848075e-32
-1.58,-0.006468977426695436,0.17326314697227088,0.18220616379773824,5.2837106231961984e-12,0.5068217473380532,0.48635102389775203,2.17423695043238e-9,0.621965961290605,0.5901397376665778,3.07107012722193e-7,0.8269758782023252,0.8130958981387558,7.502546458442723e-33
-1.57,-0.006299435749471224,0.17902221841980376,0.18591552487907004,4.24937239675118e-12,0.514873959066478,0.49195680701392047,1.765539229022386e-9,0.5970066850750695,0.5924531551525073,3.084239525374667e-7,0.812133344578179,0.8132562191637971,3.559013486590365e-33
-1.56,-0.006134337491727404,0.18996423543589042,0.18991118203152743,3.4087368524655347e-12,0.5037885892093559,0.4960725439637046,1.4308677244309185e-9,0.5708002483101512,0.5941243469796399,3.105057063609799e-7,0.8179189461341908,0.8134914092492631,1.6817731945272538e-33
-1.55,-0.005973566198460099,0.20052113230232232,0.19393895973330694,2.726665809281942e-12,0.4863164762726424,0.4996602839799953,1.1578679540545391e-9,0.5621745963869426,0.5975709504275959,3.1318740301332517e-7,0.8382768013791071,0.8138878039754753,7.916293968317954e-34
-1.54,-0.005817008466767078,0.20432759290329852,0.1977874490549223,2.1744429573106577e-12,0.47849563205280765,0.5040842130407686,9.360633057991184e-10,0.578083006674774,0.6039895754464548,3.163465136331211e-7,0.8517367781922556,0.8143674787947718,3.71187156003421e-34
-1.53,-0.005664553865857004,0.20097586503537737,0.20145752081364393,1.7284911756792679e-12,0.48862435823498435,0.5101854551063115,7.565971242049835e-10,0.6136508660052596,0.612627228390626,3.198951976998758e-7,0.8439190027523482,0.8147816941650255,1.7337255689784891e-34
-1.52,-0.005516094859155093,0.19672938688493902,0.20516040751575537,1.3693960302812955e-12,0.5141932495879379,0.5177225273657791,6.120085940504884e-10,0.6513316454900405,0.6213304421534407,3.2377428087792996e-7,0.8256704485895006,0.8150430298794386,8.066478950123207e-35
-1.51,-0.005371526728450276,0.19786512526960479,0.2091487088863142,1.0811479552285637e-12,0.542410319945794,0.5255575835545381,4.960369927765896e-10,0.6672165935981946,0.6279900725760973,3.2794846104059495e-7,0.8183016162776473,0.8151628471393212,3.7385547367495176e-35
-1.5,-0.0052307475000303435,0.20633777138751264,0.21351945802982966,8.505430503024437e-13,0.5564999798070932,0.5324454532022906,4.03450301965581e-10,0.6524274026243364,0.6319191803095245,3.324024401294072e-7,0.8293375807336711,0.8151780307563604,1.725994566526805e-35
-1.49,-0.005093657872752958,0.21898224350802487,0.21814882218122078,6.667011556000738e-13,0.5495423854943948,0.5378648368877518,3.298951097269096e-10,0.623565827843286,0.6342583482680015,3.3713775586773604e-7,0.8457885317368905,0.8150598793876473,7.937630938008696e-36
-1.48,-0.0049601611480018255,0.2285961120865348,0.2228077704093272,5.206725791596223e-13,0.5318966788626709,0.5423135206794397,2.7176535505629313e-10,0.6045646876171452,0.6371581870461325,3.421701447070241e-7,0.8478318405893476,0.8146942497882423,3.636286017728139e-36
-1.47,-0.0048301631614786,0.22972630931940616,0.22735858199673303,4.051134420814793e-13,0.5212525964839495,0.5468815392361236,2.2608787195030527e-10,0.6092526371643986,0.6423054418470094,3.475273103485847e-7,0.83355706109805,0.8139334247195216,1.6593602591005868e-36
-1.46,-0.004703572216782413,0.22516171007226882,0.23186744978796278,3.1401538704959473e-13,0.5285258750710907,0.5524338439897282,1.9042296190994065e-10,0.6381790583706631,0.649790798647682,3.5324700430952755e-7,0.8210602544390384,0.8126550754400099,7.542906256645505e-37
-1.45,-0.00458029902073018,0.22275744759792604,0.23654183844350396,2.4247928365934446e-13,0.552590105975497,0.5590036989534398,1.6277841073823386e-10,0.6782576915838558,0.6580744700599692,3.593753490048105e-7,0.8242983460831417,0.8107839896116635,3.4154818077122137e-37
-1.44,-0.00446025662037206,0.2278405942112443,0.24154993429670005,1.865251851172486e-13,0.580813898955521,0.5658276026074425,1.41535503935718e-10,0.705113960114835,0.6650557415209573,3.659653517562352e-7,0.8374295860059967,0.8082955598631603,1.54056614102658e-37
-1.43,-0.0043433603416576415,0.24004593106289546,0.24687736892439124,1.4293257285064716e-13,0.595706140577853,0.5719718547037407,1.2538570674263129e-10,0.7007259065444043,0.6695055296542796,3.730755715578926e-7,0.8418356611826658,0.8052433097723891,6.921874074141037e-38
-1.42,-0.004229527729709584,0.25324559299140115,0.2523410308365828,1.0910615615105778e-13,0.5892285521684011,0.5770666099135332,1.1327677348859828e-10,0.6733872573904224,0.6718854446231358,3.807689104759556e-7,0.8300077335798846,0.8018107532921861,3.0980033447622843e-38
-1.41,-0.004118678490662604,0.2592971207030959,0.25774308963020093,8.296336487575187e-14,0.5714415852896108,0.5815953495956967,1.0436714399912121e-10,0.6481799833862933,0.674010662676186,3.8911150908836003e-7,0.8157032294445753,0.7983341918635812,1.381194321128951e-38
