omega,Re_I,Im_I,Re_FL,Im_FL,Re_FR,Im_FR,Re_G,Im_G
-1.72,1.50812857248536,-3.195735942136344,-1.0804536513953533,1.6717850221509707,-1.0804536513953533,1.6717850221509707,0.16956021188637016,-0.9273690762384894
-1.71,1.522489194579912,-3.162751110649971,-1.09117927514898,1.6590379222092408,-1.09117927514898,1.6590379222092408,0.1756575157513978,-0.923348959985897
-1.7,1.53801358117643,-3.133932577833584,-1.1027099346179818,1.648376776336155,-1.1027099346179818,1.648376776336155,0.18232034220102128,-0.9203231483712346
-1.69,1.55631474207825,-3.1070378135957473,-1.1157809972618418,1.638593291630187,-1.1157809972618418,1.638593291630187,0.1898372861586808,-0.9176295058828914
-1.68,1.5769748818670355,-3.079799722719934,-1.1301022131596887,1.6285685742028884,-1.1301022131596887,1.6285685742028884,0.19798470312484046,-0.914737040832443
-1.67,1.5984778321383355,-3.0513326968140606,-1.1449046301337444,1.617928309262646,-1.1449046301337444,1.617928309262646,0.20636483440558476,-0.9115301829919208
-1.66,1.6197240018109584,-3.0221702849421264,-1.1597023643577409,1.6069768265941335,-1.1597023643577409,1.6069768265941335,0.21478697603354482,-0.9082040658016403
-1.65,1.6407985423992941,-2.9931640612783657,-1.1746134243050135,1.5961006937001296,-1.1746134243050135,1.5961006937001296,0.22337274568433235,-0.904929436780955
-1.64,1.6625008121481302,-2.964391801094701,-1.1900562405425188,1.5852488685940538,-1.1900562405425188,1.5852488685940538,0.23234765982967134,-0.9016167526605677
-1.63,1.685285541881628,-2.9350253211010675,-1.206205042875582,1.57393361714634,-1.206205042875582,1.57393361714634,0.2417587053355409,-0.8979729787577754
-1.62,1.7086744090438462,-2.904111015398696,-1.2227395274720316,1.5616679345159652,-1.2227395274720316,1.5616679345159652,0.2513878660777364,-0.8937567431022481
-1.61,1.7316079245640785,-2.8714086079034877,-1.2390798709812594,1.548376208107402,-1.2390798709812594,1.548376208107402,0.26091736680763267,-0.8889720390830284
-1.6,1.753285684117886,-2.837512287297252,-1.2548307696958705,1.534405760507452,-1.2548307696958705,1.534405760507452,0.27016646951661355,-0.8838313684007182
-1.59,1.7736684231115771,-2.803247180276528,-1.270007754421387,1.5201825885800657,-1.270007754421387,1.5201825885800657,0.2791790483434286,-0.8785513850424274
-1.58,1.7932505780719725,-2.7689921014867984,-1.2848796134648144,1.505870597120735,-1.2848796134648144,1.505870597120735,0.2881077273217889,-0.873186727613721
-1.57,1.8124365504706448,-2.7345385014560533,-1.2996341707538002,1.4913331336977276,-1.2996341707538002,1.4913331336977276,0.297032539236702,-0.8676413354207629
-1.56,1.831152679407715,-2.6995017006314477,-1.31419827380446,1.4763704461495029,-1.31419827380446,1.4763704461495029,0.3058878772271684,-0.8618123239506928
-1.55,1.84899105427859,-2.6637961592730943,-1.3283403777341531,1.460961149531092,-1.3283403777341531,1.460961149531092,0.3145409032135379,-0.8557091266940188
-1.54,1.865633740336685,-2.62772878925109,-1.3418992712093498,1.4452871704860397,-1.3418992712093498,1.4452871704860397,0.32291679717929606,-0.8494444064522001
-1.53,1.8811015606994201,-2.5917149346767094,-1.3548990104967122,1.4295696539866238,-1.3548990104967122,1.4295696539866238,0.33104436348345734,-0.8431342941298277
-1.52,1.8956400195109206,-2.5559744766469117,-1.3674708136580338,1.4139152094764824,-1.3674708136580338,1.4139152094764824,0.3389982872631384,-0.8368232855118138
-1.51,1.9094447797556189,-2.5205007548114953,-1.3797057781386268,1.3983164735108038,-1.3797057781386268,1.3983164735108038,0.3468192397796992,-0.8304999897658671
-1.5,1.922536957637386,-2.4852614680867706,-1.3916014906629974,1.3827676296263176,-1.3916014906629974,1.3827676296263176,0.35449702627104157,-0.8241663481102619
-1.49,1.9348792191631567,-2.450372652432387,-1.4031365092405752,1.3673511166003658,-1.4031365092405752,1.3673511166003658,0.3620213782035946,-0.8178781053188978
-1.48,1.9465671116384087,-2.4160732740527715,-1.4143740472118729,1.3522123170569211,-1.4143740472118729,1.3522123170569211,0.36943790565878676,-0.81172033359647
-1.47,1.9578995705454638,-2.382560106515421,-1.4254929767393272,1.337465383861577,-1.4254929767393272,1.337465383861577,0.3768572441093544,-0.8057518210403909
-1.46,1.96929951716469,-2.349850402238511,-1.4367404206864887,1.3231214326898983,-1.4367404206864887,1.3231214326898983,0.38442345167145653,-0.7999691439139106
-1.45,1.9811932613887626,-2.3177494912272865,-1.4483685434553744,1.3090727316502844,-1.4483685434553744,1.3090727316502844,0.3922797167518991,-0.7943020200916859
-1.44,1.9939288126842192,-2.285869555902667,-1.4605928241189354,1.295097619339762,-1.4605928241189354,1.295097619339762,0.4005474155043877,-0.78861551418985
-1.43,2.0077027564644814,-2.2536385325152795,-1.4735468805283451,1.280856419475103,-1.4735468805283451,1.280856419475103,0.40929907816066885,-0.7827051631929599
-1.42,2.022438049935686,-2.2203353708362465,-1.4872013908100759,1.2659079015483476,-1.4872013908100759,1.2659079015483476,0.41850770572244805,-0.7763075524022472
