omega,spectrum
1.4375,0.01999271438546645
1.45,0.020626843769595588
1.4625,0.021303219205559165
1.475,0.02221513073206714
1.4875,0.023088604187378053
1.5,0.023797139459679397
1.5125,0.02458198166385263
1.525,0.02528771218637105
1.5375,0.025628339285332633
1.55,0.025891348370964944
1.5625,0.026240171853706085
1.575,0.02631872081146831
1.5875,0.026176092940300984
1.6,0.026227668250249175
1.6125,0.026323948457778967
1.625,0.026159700682945267
1.6375,0.0260372612444579
1.65,0.026193506542012846
1.6625,0.026268328029391608
1.675,0.026149500237813855
1.6875,0.02625568869457542
1.7,0.026626163954311208
1.7125,0.026851532244971207
1.725,0.026993209865084876
1.7375,0.02746291834418685
1.75,0.028127907053780057
1.7625,0.028603924253295537
1.775,0.029111667129650246
1.7875,0.030042022272202776
1.8,0.031111827537456765
1.8125,0.0319501952834891
1.825,0.032937044234021266
1.8375,0.03451081083556488
1.85,0.03628111077944502
1.8625,0.037828407285258964
1.875,0.03960337420224754
1.8875,0.04201323368016056
1.9,0.04442703158620398
1.9125,0.04633718595178214
1.925,0.0483692903918989
1.9375,0.050927875616867076
1.95,0.053164458174827865
1.9625,0.054701117623874196
1.975,0.05652084492095065
1.9875,0.05904966747986526
2.0,0.06117282124012849
2.0125,0.06246977427204005
2.025,0.0640733771771294
2.0375,0.06639300015143483
2.05,0.06817031686449408
2.0625,0.06906551931279793
2.075,0.07041915218911488
2.0875,0.07269279392531712
2.1,0.07442514446265577
2.1125,0.07511181858846538
2.125,0.07622343436052292
2.1375,0.07851175486508981
2.15,0.08057982265029588
2.1625,0.08173435056737567
2.175,0.0834342569843016
2.1875,0.08668843744341702
2.2,0.08993134685498065
2.2125,0.0917607262251924
2.225,0.09347144112890718
2.2375,0.09655922366012204
2.25,0.09970748650655023
2.2625,0.10110413069592908
2.275,0.10192727168416466
2.2875,0.10421241603496975
2.3,0.1072013526758027
2.3125,0.10869388774234068
2.325,0.10939879253795992
2.3375,0.1118298564878762
2.35,0.11617027675975482
2.3625,0.11969999357118451
2.375,0.12177035216290001
2.3875,0.12490879227626171
2.4,0.13054013520400207
2.4125,0.13610335696709408
2.425,0.13943903324395465
2.4375,0.14278564510311845
2.45,0.1490194702432899
2.4625,0.15661198648211025
2.475,0.16164449505688933
2.4875,0.1649181318017986
2.5,0.17037726789882984
2.5125,0.1784785530165131
2.525,0.18465735037870096
2.5375,0.18756709977528427
2.55,0.19154389305850228
2.5625,0.19938647868364995
2.575,0.20709358555927831
2.5875,0.21000547138225695
2.6,0.21125217329883578
2.6125,0.21612940750526216
2.625,0.22388269345402328
2.6375,0.22835964547303209
2.65,0.22916767485309864
2.6625,0.23221193757438746
2.675,0.24057738332423784
2.6875,0.24958176949724126
2.7,0.2543564757101198
2.7125,0.2589006756988678
2.725,0.26972356102232264
2.7375,0.2869040354284466
2.75,0.3028058787496548
2.7625,0.3150214527496779
2.775,0.33100054767464704
2.7875,0.3569843497422199
2.8,0.3881153207635498
2.8125,0.4134005380334313
2.825,0.43537807976701054
2.8375,0.46577008835228734
2.85,0.5066134159578043
2.8625,0.5427391165958946
2.875,0.5650060952738903
2.8875,0.5882375689611131
2.9,0.6242859838408584
2.9125,0.6612394578276792
2.925,0.6764761723504108
2.9375,0.6778240407056417
2.95,0.6884559307077176
2.9625,0.7070644390533832
2.975,0.7097238599354084
2.9875,0.6898067563962443
3.0,0.6726932601702206
3.0125,0.6698480288823847
3.025,0.6649903225056968
3.0375,0.6403464549882218
3.05,0.608986545317049
3.0625,0.5928618119637994
3.075,0.588756891908358
3.0875,0.5775090031979389
3.1,0.5521689269081289
3.1125,0.5310512634974199
3.125,0.5263706093724257
3.1375,0.5274702530838814
3.15,0.5168801517845532
3.1625,0.4953450076910963
3.175,0.480980497832127
3.1875,0.47710248487016427
3.2,0.4682578008826888
